dataset,model,sampler,ratio,num_nodes,num_edges,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
Physics,gcn,random_node_edge,0.1000,9657.0000,47447.2000,0.9782,0.0228,0.9400,0.0102,0.9388,0.0088
Physics,gcn,random_hybrid,0.1000,9657.0000,50661.2000,0.9722,0.0164,0.9406,0.0070,0.9398,0.0072
Physics,gcn,random_walk,0.1000,9657.0000,58882.6000,0.9784,0.0148,0.9376,0.0102,0.9362,0.0081
Physics,gcn,random_jump,0.1000,9657.0000,58882.6000,0.9786,0.0149,0.9376,0.0102,0.9364,0.0082
Physics,gcn,random_neigbour,0.1000,9657.0000,73271.2000,0.9773,0.0141,0.9301,0.0098,0.9282,0.0077
Physics,gcn,forest_fire,0.1000,9657.0000,83514.0000,0.9835,0.0135,0.9009,0.0344,0.9004,0.0326
Physics,gcn,random_node,0.0500,8278.0000,28433.2000,0.9442,0.0469,0.9089,0.0371,0.9097,0.0344
Physics,gcn,random_degree,0.0500,8278.0000,39733.4000,0.9661,0.0336,0.9170,0.0262,0.9173,0.0226
Physics,gcn,random_pagerank,0.0500,8278.0000,33957.8000,0.9831,0.0183,0.9358,0.0081,0.9333,0.0072
Physics,gcn,random_edge,0.0500,8278.0000,39444.4000,0.9711,0.0457,0.9209,0.0345,0.9185,0.0321
Physics,gcn,random_node_edge,0.0500,8278.0000,32403.0000,0.9890,0.0214,0.9359,0.0080,0.9336,0.0084
Physics,gcn,random_hybrid,0.0500,8278.0000,33890.2000,0.9861,0.0201,0.9353,0.0071,0.9337,0.0063
Physics,gcn,random_walk,0.0500,8278.0000,37746.6000,0.9849,0.0204,0.9306,0.0142,0.9276,0.0123
Physics,gcn,random_jump,0.0500,8278.0000,37746.6000,0.9851,0.0203,0.9307,0.0140,0.9286,0.0123
Physics,gcn,random_neigbour,0.0500,8278.0000,45668.8000,0.9835,0.0171,0.9208,0.0133,0.9223,0.0104
Physics,gcn,forest_fire,0.0500,8278.0000,51853.2000,0.9814,0.0221,0.7928,0.1609,0.7940,0.1615
